ISO31662A2(State), FIPS 5-2(State), ShortName(City), FIPS 55-3(City), GNIS(City), Type, Latitude, Longitude
AL,01,Abanda,00100,2582661,CDP,33.091627,-85.527029
AL,01,Abbeville,00124,2403054,PPL,31.564689,-85.259124
AL,01,Adamsville,00460,2403063,PPL,33.605750,-86.974650
AL,01,Addison,00484,2405123,PPL,34.202681,-87.178004
AL,01,Akron,00676,2405125,PPL,32.879495,-87.741679
AL,01,Alabaster,00820,2403069,PPL,33.219442,-86.823907
AL,01,Albertville,00988,2403074,PPL,34.263130,-86.210660
AL,01,Alexander,01132,2403077,PPL,32.927240,-85.937122
AL,01,Alexandria,01180,2402638,CDP,33.760819,-85.872008
AL,01,Aliceville,01228,2403080,PPL,33.123686,-88.159364
AL,01,Allgood,01396,2405136,PPL,33.907623,-86.516109
AL,01,Altoona,01660,2405146,PPL,34.039204,-86.305697
AL,01,Andalusia,01708,2403097,PPL,31.309436,-86.478031
AL,01,Anderson,01756,2405149,PPL,34.915675,-87.274274
AL,01,Anniston,01852,2403101,PPL,33.673440,-85.810918
AL,01,Arab,02116,2403104,PPL,34.332387,-86.501167
AL,01,Ardmore,02260,2405163,PPL,34.987838,-86.829022
AL,01,Argo,02320,2405164,PPL,33.691576,-86.503766
AL,01,Ariton,02428,2405166,PPL,31.597772,-85.713061
AL,01,Arley,02500,2405167,PPL,34.076234,-87.217831
AL,01,Ashford,02836,2405172,PPL,31.185284,-85.236236
AL,01,Ashland,02860,2405173,PPL,33.269892,-85.833706
AL,01,Ashville,02908,2403122,PPL,33.835197,-86.270015
AL,01,Athens,02956,2403123,PPL,34.779021,-86.950799
AL,01,Atmore,03004,2403129,PPL,31.127936,-87.457643
AL,01,Attalla,03028,2403130,PPL,33.986189,-86.121037
AL,01,Auburn,03076,2403132,PPL,32.607722,-85.489545
AL,01,Autaugaville,03220,2405187,PPL,32.432563,-86.658752
AL,01,Avon,03364,2405191,PPL,31.179727,-85.279211
AL,01,Axis,03508,2628577,CDP,30.922563,-88.021850
AL,01,Babbie,03556,2405195,PPL,31.302083,-86.319437
AL,01,Baileyton,03676,2405198,PPL,34.260858,-86.608788
AL,01,Bakerhill,03724,2405200,PPL,31.776923,-85.295408
AL,01,Ballplay,03820,2582662,CDP,34.023046,-85.801481
AL,01,Banks,03940,2405206,PPL,31.813264,-85.836434
AL,01,Bay Minette,04660,2403825,PPL,30.894436,-87.791306
AL,01,Bayou La Batre,04684,2403828,PPL,30.407586,-88.263271
AL,01,Bear Creek,04852,2405219,PPL,34.255481,-87.713399
AL,01,Beatrice,04900,2405221,PPL,31.733309,-87.209046
AL,01,Beaverton,04948,2405225,PPL,33.935411,-88.021778
AL,01,Belgreen,05140,2628578,CDP,34.474665,-87.861685
AL,01,Belk,05164,2405230,PPL,33.651647,-87.928609
AL,01,Bellamy,05188,2628579,CDP,32.463658,-88.131481
AL,01,Belle Fontaine,05212,2632282,CDP,30.489492,-88.105940
AL,01,Benton,05692,2405243,PPL,32.307931,-86.817546
AL,01,Berry,05932,2405250,PPL,33.666702,-87.609311
AL,01,Bessemer,05980,2403864,PPL,33.370789,-86.971596
AL,01,Billingsley,06460,2405265,PPL,32.665220,-86.706673
AL,01,Birmingham,07000,2403868,PPL,33.527444,-86.799047
AL,01,Black,07120,2405270,PPL,31.010249,-85.742791
AL,01,Blountsville,07456,2405280,PPL,34.075728,-86.583728
AL,01,Blue Ridge,07588,2402696,CDP,32.498900,-86.182436
AL,01,Blue Springs,07672,2405286,PPL,31.663516,-85.503526
AL,01,Boaz,07912,2403886,PPL,34.199020,-86.155151
AL,01,Boligee,08104,2405297,PPL,32.768100,-88.028579
AL,01,Bon Air,08248,2405301,PPL,33.259370,-86.327148
AL,01,Boykin,08680,2628580,CDP,32.068375,-87.294343
AL,01,Brantley,09016,2405315,PPL,31.581992,-86.256784
AL,01,Brantleyville,09064,2582663,CDP,33.219303,-86.882522
AL,01,Brent,09136,2403918,PPL,32.944893,-87.172088
AL,01,Brewton,09208,2403921,PPL,31.109175,-87.076583
AL,01,Bridgeport,09328,2403924,PPL,34.949312,-85.723765
AL,01,Brighton,09400,2403925,PPL,33.439229,-86.945385
AL,01,Brilliant,09424,2405321,PPL,34.025353,-87.769145
AL,01,Bristow Cove,09457,2582664,CDP,34.109216,-86.240993
AL,01,Brook Highland,09500,2403203,CDP,33.442183,-86.686686
AL,01,Brookside,09736,2405331,PPL,33.636966,-86.896080
AL,01,Brookwood,09808,2405333,PPL,33.239844,-87.331494
AL,01,Broomtown,09880,2582666,CDP,34.365728,-85.532112
AL,01,Brundidge,10240,2403943,PPL,31.717639,-85.817550
